"t1q21raw","t1q22raw","t1q23raw","t1q24raw","t1q25raw","t1q26raw","t1q27raw","t2q11raw","t2q12raw","t2q13raw","t2q14raw","t2q15raw","t2q16raw","t2q17raw","female"
0,0,1,1,1,1,0,1,1,1,1,1,1,0,1
0,1,0,1,0,0,0,NA,1,1,NA,0,1,0,1
0,1,1,1,0,0,0,1,0,0,0,0,0,0,1
NA,NA,0,0,NA,1,1,1,NA,1,1,1,1,0,1
1,0,0,0,0,0,0,1,1,1,1,1,0,0,1
0,0,1,1,0,1,0,0,1,1,1,0,1,0,1
NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,0,NA,0
1,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,1
NA,NA,0,0,NA,NA,0,NA,1,1,1,0,1,0,1
NA,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,1,NA,1
NA,NA,NA,NA,1,1,0,1,1,1,1,NA,1,0,0
0,NA,0,0,0,0,1,NA,1,1,1,0,1,0,0
NA,0,0,0,0,0,0,1,1,1,NA,1,1,NA,1
NA,NA,1,0,NA,NA,0,NA,NA,NA,1,1,1,0,0
NA,NA,0,0,NA,NA,0,NA,NA,0,0,NA,NA,0,0
NA,1,1,0,1,1,0,1,0,1,1,0,1,0,1
1,NA,0,0,0,1,0,1,0,0,0,0,0,0,1
1,NA,0,0,0,0,0,NA,NA,NA,1,0,NA,0,0
1,0,1,1,0,1,1,1,1,1,1,0,1,1,0
0,NA,0,NA,0,0,NA,NA,NA,NA,1,0,0,0,1
NA,NA,1,1,0,0,0,1,1,1,0,1,1,0,1
0,0,0,0,0,0,0,0,1,1,NA,0,1,0,1
NA,NA,NA,1,0,0,NA,NA,NA,0,0,0,0,1,1
NA,0,0,0,0,0,0,NA,1,0,0,NA,0,1,1
0,0,NA,NA,0,0,0,0,1,0,0,1,0,NA,1
1,1,0,1,1,0,0,0,1,1,NA,1,1,0,0
0,NA,0,0,0,0,NA,0,0,1,0,0,NA,NA,1
1,0,NA,NA,NA,0,1,1,0,1,1,1,1,0,0
0,0,0,0,NA,0,NA,NA,0,0,0,NA,1,NA,1
NA,0,0,1,0,0,0,NA,1,1,1,0,1,0,0
NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,1,0,0
1,0,1,0,0,0,0,1,1,1,1,0,1,0,1
0,0,0,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,0
1,NA,0,NA,NA,NA,0,NA,NA,1,1,1,1,0,1
NA,0,0,0,0,0,0,NA,NA,1,1,0,1,NA,1
NA,0,0,1,1,0,0,NA,0,1,0,1,1,NA,1
0,0,1,0,1,1,0,1,1,1,1,1,1,0,1
NA,NA,0,NA,1,NA,NA,1,1,1,0,1,1,0,1
NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1
NA,NA,NA,NA,NA,NA,0,NA,1,1,1,NA,1,0,1
0,1,0,NA,1,1,0,1,1,1,0,1,1,0,1
NA,0,0,1,1,NA,0,NA,NA,1,1,1,1,NA,1
NA,NA,NA,NA,1,NA,NA,0,1,1,1,1,1,0,1
NA,0,0,0,1,NA,NA,0,0,0,0,0,0,0,1
NA,0,0,0,1,NA,0,NA,1,1,NA,NA,1,0,1
1,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,1,0,1
0,1,1,1,1,1,NA,1,0,1,1,1,1,0,1
0,0,1,1,1,1,0,0,1,1,1,1,1,0,1
0,1,1,1,0,1,0,0,1,1,1,0,1,NA,1
1,1,1,0,0,1,0,1,1,1,1,1,1,0,0
0,1,NA,1,NA,1,0,0,1,1,1,1,1,0,0
NA,NA,NA,NA,NA,NA,0,NA,1,1,NA,1,1,NA,0
1,0,0,0,1,1,0,1,0,1,1,1,1,1,0
0,NA,0,1,0,0,0,0,1,0,1,0,0,0,0
1,0,0,1,0,0,0,1,0,1,1,0,NA,0,1
NA,NA,0,0,1,1,1,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1,1,0,0,1,1,0,1,1,0,1,0,1,0,1
0,1,NA,1,0,NA,NA,1,1,1,1,0,1,0,1
NA,0,0,NA,0,0,NA,1,NA,1,1,0,1,0,1
NA,0,0,0,0,0,0,1,0,1,1,0,1,0,1
0,0,0,NA,0,0,0,1,1,0,1,0,1,NA,1
NA,0,0,1,1,NA,NA,0,1,1,1,1,1,0,1
NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,0,1
1,NA,1,NA,1,1,NA,NA,0,1,NA,0,NA,0,1
0,0,0,0,1,0,0,1,0,1,1,1,1,0,1
1,1,0,1,1,NA,NA,1,1,1,1,1,1,0,1
NA,0,NA,NA,NA,0,0,NA,NA,1,0,1,1,0,1
NA,NA,0,NA,NA,NA,0,NA,1,1,1,1,1,0,0
0,1,0,0,1,0,0,0,0,1,1,1,1,0,1
0,0,0,1,0,0,NA,NA,1,1,1,NA,1,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
1,1,NA,NA,0,NA,0,0,0,1,1,1,0,0,0
NA,NA,0,1,0,NA,NA,NA,1,1,1,0,1,0,1
0,1,0,1,0,NA,0,0,1,1,1,1,1,0,1
NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,1,NA,1
NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,1,1,0,1
NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,1,0,1
NA,0,0,NA,1,0,1,0,0,1,0,0,1,1,0
1,0,0,0,0,NA,0,1,1,1,1,1,1,0,1
0,0,1,1,1,1,0,0,1,1,1,1,1,0,1
1,0,0,NA,1,0,0,1,1,1,1,1,1,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1
1,1,NA,NA,NA,NA,0,NA,NA,1,1,NA,1,0,1
0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
0,0,0,0,1,1,0,1,0,1,1,0,1,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1
NA,NA,1,1,NA,NA,0,NA,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,1,0,1,1,0,0
1,NA,0,0,0,NA,0,1,1,0,0,0,1,0,0
1,0,0,1,0,1,1,0,1,1,1,1,1,0,1
NA,NA,1,NA,0,0,0,NA,NA,NA,1,NA,1,0,1
NA,1,0,NA,1,1,0,1,1,1,1,1,1,0,0
1,0,0,1,0,1,0,1,0,1,1,0,1,NA,0
0,0,1,1,1,0,0,0,0,1,1,1,1,0,1
0,0,0,1,1,0,0,1,1,1,1,1,1,0,1
NA,NA,0,0,0,NA,1,0,NA,1,0,0,0,0,1
NA,0,1,NA,0,NA,0,0,1,1,1,0,1,NA,1
NA,0,0,1,0,1,1,1,0,1,NA,0,1,1,0
0,NA,0,1,0,0,0,NA,NA,0,0,0,0,0,1
0,0,0,0,0,NA,NA,NA,NA,0,0,NA,1,0,1
NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,1,NA,1
0,0,1,0,0,0,0,NA,0,1,1,NA,1,NA,0
1,NA,NA,0,NA,NA,0,NA,NA,1,1,NA,1,NA,1
0,0,NA,1,1,0,0,1,1,1,1,1,0,0,1
1,NA,1,1,0,0,0,1,0,1,1,0,1,0,0
0,0,NA,NA,0,0,0,NA,0,1,1,1,1,0,1
1,0,0,NA,NA,NA,NA,1,0,0,1,0,1,0,1
0,0,0,1,0,0,0,0,1,1,1,1,1,0,1
1,1,1,1,0,1,0,0,1,1,1,0,1,1,1
NA,0,0,0,1,0,0,0,1,1,NA,1,1,0,1
0,1,0,0,0,0,0,0,0,1,1,1,1,0,1
0,NA,NA,NA,0,NA,NA,0,0,1,1,1,1,NA,1
0,1,0,NA,1,NA,0,0,1,1,1,1,1,0,1
0,0,1,NA,1,1,0,1,0,1,1,1,1,0,1
1,NA,0,0,1,NA,0,1,1,1,1,1,1,0,1
NA,0,1,1,1,1,NA,1,0,1,1,1,1,0,1
NA,NA,0,0,NA,NA,0,0,1,1,1,1,1,0,1
1,1,1,NA,1,1,1,0,NA,1,1,1,1,1,1
0,1,0,0,0,0,0,1,1,0,0,0,1,1,1
0,NA,0,0,0,0,0,1,1,1,0,0,0,0,1
NA,0,0,NA,0,0,0,NA,NA,0,0,1,1,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1
NA,NA,NA,NA,NA,NA,0,NA,1,1,1,NA,1,0,1
