"sopha1r","sophb1r","sophc1r","sophd1r","sophe1r","sophf1r","sopha2r","sophb2r","sophc2r","sophd2r","sophe2r","sophf2r","female"
1,1,NA,1,0,1,1,1,1,1,1,1,1
1,1,1,1,0,NA,NA,0,1,1,0,1,1
NA,NA,NA,0,0,1,0,1,NA,0,0,1,1
1,1,1,1,0,1,1,1,1,1,0,1,1
1,1,1,1,0,1,1,1,1,1,0,1,0
1,1,1,1,0,1,1,1,1,1,0,1,1
1,1,1,NA,0,1,1,1,NA,1,0,1,1
1,1,1,1,0,1,1,1,1,1,0,1,0
NA,1,1,1,0,NA,1,1,1,1,0,NA,1
1,1,1,1,0,1,1,1,1,1,0,1,0
1,1,1,1,0,1,1,1,1,1,0,1,0
NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,0
1,1,1,1,0,1,1,1,1,1,0,1,1
1,1,1,1,0,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,0,1,1
1,1,1,1,NA,1,1,1,NA,1,0,1,1
1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,0,1,1,1,1,1,0,0,1
NA,1,1,1,0,1,NA,1,1,NA,1,1,0
NA,1,1,NA,0,NA,NA,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,0,1,0,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,0,0,1,1,1,1,1,0,1,1
1,1,NA,1,0,1,1,1,1,1,0,1,1
1,1,1,1,0,1,1,1,0,1,0,1,1
1,1,1,1,0,1,1,1,1,1,0,1,1
1,1,1,1,NA,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0,1,1,1,1
1,1,1,0,0,0,1,1,1,0,0,1,1
1,1,NA,0,0,1,1,1,1,1,0,1,1
NA,1,NA,1,0,NA,NA,1,0,1,0,1,1
0,1,1,1,0,1,1,1,1,1,0,1,0
1,1,1,0,0,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,1,1,0,1,1
1,1,0,0,0,0,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,1,1,1,1,0
1,1,1,NA,0,1,1,1,1,1,0,1,0
NA,NA,NA,NA,0,1,0,1,NA,NA,0,1,1
0,1,1,0,0,0,NA,1,NA,NA,NA,NA,1
1,1,0,1,0,1,1,1,0,1,0,1,1
0,0,0,1,0,1,0,1,0,1,0,1,1
1,1,1,1,0,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,NA,1,1,1,1,1,1,1,1
1,1,1,NA,0,1,1,1,1,1,0,1,1
1,1,NA,1,1,1,1,1,NA,1,1,1,1
1,1,0,0,0,1,1,1,NA,1,0,1,0
1,1,1,1,0,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,0,1,0
1,1,0,1,0,1,1,1,1,1,1,1,0
1,1,NA,1,0,1,1,1,NA,1,0,1,1
1,1,1,NA,1,1,NA,1,NA,1,1,1,1
0,1,1,1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,NA,1,1,0,1,0,1,0
NA,1,1,NA,NA,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,0,1
NA,1,1,1,0,1,0,1,1,1,0,1,1
1,1,1,0,NA,1,1,1,1,1,0,1,1
1,1,1,1,0,0,NA,1,0,1,0,0,1
1,1,1,1,0,0,1,1,1,1,0,1,0
1,1,0,1,0,1,1,1,0,1,0,1,1
1,1,1,1,1,1,1,1,1,1,0,1,0
1,1,1,1,0,1,1,1,1,1,0,1,1
NA,1,0,1,0,1,NA,1,NA,1,0,1,1
1,1,1,1,0,NA,0,1,1,1,0,1,0
1,1,1,1,0,1,1,1,NA,1,0,1,0
1,1,0,1,0,1,1,1,1,1,0,1,0
NA,1,1,1,NA,1,1,1,1,1,0,1,0
1,1,NA,1,0,1,0,1,0,1,1,1,1
NA,1,1,1,0,1,0,1,NA,1,0,1,0
1,1,0,1,1,1,1,1,0,1,1,1,0
NA,1,1,NA,0,0,1,1,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,1,1,1
NA,1,1,0,NA,NA,NA,1,NA,NA,NA,NA,1
1,1,0,1,0,1,1,1,1,1,1,1,1
NA,1,1,0,0,1,NA,NA,NA,NA,0,NA,1
1,1,1,1,0,1,1,1,0,1,0,1,1
1,1,0,1,1,1,1,1,0,1,0,1,0
1,1,NA,1,0,1,1,1,NA,1,1,1,1
0,1,0,1,0,1,0,0,1,1,0,1,1
1,1,1,1,0,1,NA,1,1,1,1,1,1
1,NA,0,NA,0,0,1,NA,NA,1,0,1,1
1,1,1,1,0,0,1,1,0,1,1,NA,0
0,1,1,1,0,1,1,1,1,1,0,1,0
1,1,NA,1,0,NA,1,1,0,1,NA,NA,0
0,1,1,1,0,1,1,1,1,NA,1,1,1
NA,0,1,1,0,0,1,NA,NA,1,0,NA,0
1,1,0,1,0,1,1,1,0,1,0,1,0
1,1,NA,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,0,1,0
1,1,1,1,0,1,1,1,1,1,0,1,0
1,1,0,1,0,1,1,1,1,1,0,1,0
1,1,1,1,0,0,NA,1,1,1,0,1,0
1,0,NA,NA,NA,1,1,1,NA,NA,NA,NA,1
1,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,1
1,1,NA,NA,0,0,1,1,1,1,0,1,1
1,1,1,1,0,1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,0,1,1,1,1,1,0,1,1
0,1,0,0,NA,0,1,NA,NA,0,1,1,1
1,1,NA,1,0,0,1,1,1,1,0,1,1
1,1,NA,1,1,1,1,1,0,1,0,1,1
0,1,1,1,0,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,NA,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,NA,NA,1,1,0,1,0,1,1
1,1,NA,1,1,NA,1,1,NA,1,NA,1,0
1,1,NA,1,1,1,1,1,1,1,1,1,1
1,1,NA,1,0,NA,1,1,0,1,0,1,1
1,1,NA,NA,0,NA,1,1,NA,1,1,NA,1
1,1,1,1,0,0,1,1,0,1,1,1,0
1,1,1,0,0,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,1,1,NA,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1
NA,1,1,1,0,1,NA,1,1,1,0,1,1
1,1,1,0,0,1,1,1,1,1,0,1,1
1,1,1,1,0,0,1,1,NA,NA,NA,NA,0
1,1,1,1,0,1,1,1,1,1,0,1,0
NA,1,1,0,0,0,0,1,NA,0,0,0,0
1,1,1,NA,0,NA,1,1,1,1,0,1,1
1,1,1,0,0,1,1,1,1,0,0,1,0
1,1,NA,1,1,1,1,1,1,1,1,1,0
0,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,0,1,1,1,0
1,1,1,1,0,1,1,1,0,0,0,1,1
1,1,NA,1,NA,NA,1,1,NA,1,0,1,0
NA,1,NA,0,0,NA,0,1,NA,0,0,NA,0
1,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,1
NA,1,1,0,0,1,NA,NA,NA,NA,NA,NA,1
NA,1,NA,1,0,1,1,1,1,1,0,1,1
1,1,1,1,0,1,1,1,NA,0,0,1,1
NA,1,NA,1,0,NA,NA,NA,NA,1,NA,0,1
1,1,1,1,0,0,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,NA,1,0,1,1,1,1,1,0,1,0
1,NA,1,1,0,0,1,1,0,NA,0,NA,0
NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,NA,1,0,1,1
1,1,0,1,0,1,1,1,0,1,1,1,1
NA,1,NA,1,0,NA,NA,0,NA,NA,NA,NA,1
NA,1,NA,1,0,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,0,0,1,1
NA,0,NA,NA,1,NA,1,1,0,NA,0,NA,0
1,1,1,1,1,1,1,1,1,0,1,1,1
NA,1,1,1,0,NA,1,1,NA,NA,NA,NA,1
1,1,1,1,0,1,1,1,1,1,1,1,0
NA,1,1,1,0,0,1,1,1,1,1,NA,0
1,0,0,0,NA,NA,1,0,0,0,1,1,0
0,1,1,NA,0,0,1,1,1,1,0,0,1
NA,1,0,0,0,1,1,1,1,1,0,1,1
1,0,0,1,0,0,1,1,0,0,1,1,1
1,1,NA,1,0,1,1,1,1,1,0,1,0
1,0,0,1,0,NA,1,1,NA,1,0,NA,1
NA,0,1,1,0,0,0,0,NA,NA,NA,1,0
1,1,0,1,NA,1,1,1,1,NA,0,1,0
1,1,1,1,0,0,1,1,0,NA,NA,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,1,0,1,1,NA,1,0,1,0,1
1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,0,0,0,0,1,1,1,1,0,0,1
1,1,NA,1,0,NA,NA,1,NA,1,0,1,0
1,1,NA,0,0,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,0,NA,0,0,1,0
NA,1,NA,1,0,NA,1,1,1,1,0,NA,1
1,1,0,1,1,0,1,1,1,1,1,1,0
1,1,1,1,0,0,1,1,1,1,0,1,0
1,1,1,1,0,1,1,1,1,1,0,1,1
1,1,1,1,0,1,1,1,1,1,0,1,0
NA,1,1,1,0,1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,0,1,1
1,1,1,1,0,1,1,1,1,1,0,1,0
1,1,NA,NA,0,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,0,0,1,0,1,NA,1,0,1,1
NA,1,1,1,1,NA,1,1,1,1,1,1,1
1,NA,NA,1,NA,NA,1,0,NA,NA,1,NA,0
1,1,NA,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,NA,1,1,1,1
1,1,0,1,0,1,1,1,0,1,0,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1
NA,0,0,1,0,NA,0,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,0,1,0
1,NA,NA,0,NA,1,0,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,NA,1,1,1,1,1,1,1,0,1,0
NA,1,1,1,0,NA,1,1,1,1,0,1,0
1,1,1,1,0,0,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,0,1,1,1,1,1,0,1,0
1,1,1,1,0,1,1,1,1,1,0,1,0
NA,1,1,1,NA,NA,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,1,1,0,1,0
1,1,1,1,0,1,1,1,1,1,0,1,0
0,1,1,1,0,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,NA,1,0,0,NA,1,NA,1,0,1,1
NA,1,NA,NA,NA,NA,1,1,0,1,NA,1,0
1,1,0,1,0,1,1,1,0,1,0,1,0
1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0
1,1,1,1,0,0,1,1,1,1,0,1,1
1,1,1,1,0,1,1,1,1,1,0,1,0
1,1,1,1,0,1,1,1,0,1,1,1,0
1,1,NA,1,1,1,1,1,0,1,1,1,1
1,1,1,1,0,1,1,1,1,1,NA,1,0
1,1,NA,1,1,1,1,1,0,1,0,1,1
NA,1,0,1,NA,NA,NA,0,NA,0,NA,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,0,0,NA,1,1,1,0,0,NA,1
1,1,NA,1,0,NA,1,1,1,1,1,NA,0
1,1,NA,1,0,1,1,1,1,1,0,1,1
0,NA,1,NA,NA,1,NA,1,0,1,0,1,0
1,1,0,1,0,1,1,1,1,1,1,1,0
1,1,0,NA,0,1,1,1,1,1,0,1,1
1,0,1,1,0,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,0,1,1
