poll,estimator,knowledge_gap,learning_gap
Australia Constitutional Referendum,raw,-0.06551115551115552,0.018608058608058625
Australia Constitutional Referendum,standard,-0.029073486693386524,-0.015866747826521005
Australia Constitutional Referendum,lca,-0.03559416987535202,0.0038158095925712797
BTP 2004 Primaries,raw,-0.07252501000400159,-0.011177804455115369
BTP 2004 Primaries,standard,-0.06280369835803147,-0.012295921062268247
BTP 2004 Primaries,lca,-0.04524791026332467,-0.011527919240597647
BTP 2004 General Election,raw,-0.0975487564859545,0.0892109500805153
BTP 2004 General Election,standard,-0.0901792560463039,0.0828551015147016
BTP 2004 General Election,lca,-0.08427238349513064,0.07486078816720089
BTP 2005,raw,-0.015066790928859913,-0.014607279693486592
BTP 2005,standard,-0.017875007426603164,-0.00594148348432198
BTP 2005,lca,-0.005815771005743835,-0.007714301095154023
BTP 2007,raw,-0.10229250334672013,-0.011590807675145016
BTP 2007,standard,-0.08228818386812048,-0.01345180186080667
BTP 2007,lca,-0.0750058665376157,-0.010221004575807822
Bulgaria,raw,-0.014433599526767246,-0.04142265601892937
Bulgaria,standard,0.016911260024303692,-0.019470312635439642
Bulgaria,lca,-0.005453594955597081,-0.014144876667403189
California Referendum,raw,-0.06474636202910376,0.06509451924384606
California Referendum,standard,-0.06001382499943263,0.05883394832438901
California Referendum,lca,-0.04981791293374982,0.04424332849951456
CPL,raw,-0.07784166298098188,0.004643962848297235
CPL,standard,-0.0350436500050726,-0.026731881596993027
CPL,lca,-0.04367463710819542,-0.0114985087753843
Denmark,raw,-0.08319327731092431,0.02763772175536882
Denmark,standard,-0.05905070099691062,0.007484867668408437
Denmark,lca,-0.04936130592652357,0.0028625500153265163
EU 2007,raw,-0.10042290898632567,0.02408685648547597
EU 2007,standard,-0.06463150294738168,-2.2143314261654568e-4
EU 2007,lca,-0.06152685186801932,0.0034011105082546542
EU 2009,raw,-0.04676270905779101,0.034475906607054164
EU 2009,standard,0.013828931087937556,-0.01907429564922048
EU 2009,lca,-0.014791533372094769,0.003675637369111519
Northern Ireland,raw,-0.04569402228976682,0.018844984802431634
Northern Ireland,standard,0.019093962386001834,-0.020924311974313
Northern Ireland,lca,-0.01716276647531812,-9.146283045920181e-4
Michigan,raw,-0.0553058053058053,-0.013449513449513433
Michigan,standard,0.011352639896812077,-0.04330787906495783
Michigan,lca,-0.03586569767502142,-0.011133949352613144
NIC,raw,-0.12571081962241262,0.04281503525665329
NIC,standard,0.005237813277702012,-0.01333307962113102
NIC,lca,-0.0825376113497136,0.02302950096489096
San Mateo,raw,-0.020314321095571075,0.0177647872960373
San Mateo,standard,-0.011476926243031645,0.004449744749192901
San Mateo,lca,-0.0049718046206355705,0.0060673754009119675
SWEPCO,raw,-0.15330751120224803,0.029179008126376544
SWEPCO,standard,-0.12444394606957244,0.01772142659544435
SWEPCO,lca,-0.060913595383445394,-0.009072791851146537
UK BGE,raw,-0.09197346953252464,0.015421720933531956
UK BGE,standard,-0.03381978648025125,-0.00515803429312917
UK BGE,lca,-0.044636345978696305,-0.00705700121819347
UK Crime,raw,0.16116331096196881,-0.012745286033876644
UK Crime,standard,0.0710845546431704,-0.002551118303053125
UK Crime,lca,0.11157170014287236,8.719926166747045e-4
UK EU,raw,-0.15343015325363096,0.14155500280831268
UK EU,standard,-0.10779154281832679,0.09819006735036147
UK EU,lca,-0.08446294461343581,0.07859653493347836
UK Health,raw,-0.011357946609745189,0.0034126544917911783
UK Health,standard,-0.054425731681085436,0.03229564510480287
UK Health,lca,-0.00904532508507197,0.0026942903252823013
UK Monarchy,raw,-0.09275554484088717,0.0553580038572806
UK Monarchy,standard,-0.05055962303642523,0.021024286207226905
UK Monarchy,lca,-0.06114787993870108,0.03396656343086211
Vermont,raw,-0.12862409921233453,-0.015669515669515684
Vermont,standard,-0.07819247189720878,-0.04261896891627751
Vermont,lca,-0.04307448140111392,-0.07804425419398903
WTU,raw,-0.14249387254901955,0.04154411764705883
WTU,standard,-0.08535600663855705,0.0012032568680361273
WTU,lca,-0.09875143417707129,0.01024860566546531
