poll,item,raw,lca,standard,lca_converged,gof_p_value
Australia Constitutional Referendum,item1,0.5677233429394812,0.5864552480325101,0.6176753121998079,TRUE,0.7211856152926212
Australia Constitutional Referendum,item2,0.4553314121037464,0.5736383765215992,0.5177713736791546,TRUE,0.8405722280961866
Australia Constitutional Referendum,item3,0.08069164265129683,0.007829230910219859,0.05955811719500478,TRUE,0.06242046903766753
Australia Constitutional Referendum,item4,0.5129682997118156,0.6251081702730047,0.7550432276657061,TRUE,0.11115745941172653
Australia Constitutional Referendum,item5,0.05187319884726225,0.051873695847875254,0.05187319884726225,TRUE,0.04394835867907938
Australia Constitutional Referendum,item6,0.01729106628242075,0.016112150979138044,-0.01440922190201729,TRUE,0.011927272793981012
Australia Constitutional Referendum,item7,0.5360230547550432,0.6797551758973246,0.659221902017291,TRUE,0.0023857580264688995
Australia Constitutional Referendum,item8,0.2507204610951009,0.6508852103861791,0.3025936599423631,TRUE,0.04739406497353952
Australia Constitutional Referendum,item9,0.16138328530259366,0.6340050651389498,0.22037252267238142,TRUE,0.3340383199763679
Australia Constitutional Referendum,item10,0.2017291066282421,0.5653400995252023,0.2808610104169817,TRUE,0.009920558371602498
BTP 2004 Primaries,item1,0.021341463414634148,0.03775783264077582,0.025406504065040678,TRUE,0.24058428125516274
BTP 2004 Primaries,item2,0.04573170731707317,0.026066643903061782,0.03252032520325205,TRUE,0.007397338677901364
BTP 2004 Primaries,item3,0.06402439024390244,0.04234414833401993,0.057926829268292686,TRUE,0.0013472653572595772
BTP 2004 Primaries,item4,-0.024390243902439025,4.233072251333677e-8,-0.03861788617886176,TRUE,0.011142971755882077
BTP 2004 Primaries,item5,-0.012195121951219513,0.059866558653405566,0.03285402257007645,TRUE,0.02729834365133331
BTP 2004 Primaries,item6,-0.03353658536585366,0.1071767124666461,-0.008130081300813066,TRUE,0.11235563122132845
BTP 2004 Primaries,item7,0.13109756097560976,0.14717308056075853,0.13710411357844923,TRUE,0.027758662172406585
BTP 2004 General Election,item1,0.156,0.155999790638897,0.156,TRUE,0.19770274063198987
BTP 2004 General Election,item2,0.052,0.04197819120332534,0.04666666666666668,TRUE,0.1018934411822093
BTP 2004 General Election,item3,0.144,0.1852610209397358,0.248,TRUE,0.2807756573430376
BTP 2004 General Election,item4,-0.012,0.029006483465997077,-0.008,TRUE,0.19420050091184315
BTP 2004 General Election,item5,-0.008,0.010118474322163553,-0.024,TRUE,0.03320291505627881
BTP 2004 General Election,item6,0.056,0.08599998922693655,0.05733333333333326,TRUE,0.13568748038887532
BTP 2004 General Election,item7,0.04,6.440667097034615e-7,0.036,TRUE,0.7377954293192908
BTP 2004 General Election,item8,0.064,0.06657137330778463,0.068,TRUE,0.00666023378625512
BTP 2004 General Election,item9,0.144,0.22438792940204416,0.17333333333333337,TRUE,0.28615527788936757
BTP 2005,item1,-0.006607929515418502,0.005926870187879991,-0.011013215859030838,TRUE,0.058551386741050496
BTP 2005,item2,0.06387665198237885,0.06895971603895786,0.08340456308764549,TRUE,9.687001079865861e-4
BTP 2005,item3,-0.028634361233480177,0.0129207776726536,-0.05901111184167267,TRUE,0.026333649005645204
BTP 2005,item4,0.14977973568281938,0.17905538545125296,0.17345814977973567,TRUE,0.6819661330531785
BTP 2005,item5,0.013215859030837005,0.019397952646255316,0.016886930983847293,TRUE,0.8675697811573425
BTP 2005,item6,0.019823788546255508,0.037960345012714676,0.03303964757709251,TRUE,0.01734277733240729
BTP 2007,item1,0.029900332225913623,0.030830590822331267,0.015503875968992263,TRUE,0.2897971111411652
