poll,alpha_t1,alpha_t2
Australia Constitutional Referendum,0.6142338455489857,0.6687455589103118
BTP 2004 Primaries,0.7142731498646239,0.8134471232679246
BTP 2004 General Election,0.7845075033513728,0.7821715281927913
BTP 2005,0.315628958677686,0.2162185580527014
BTP 2007,0.5527628598727224,0.5655714978859083
Bulgaria,0.5917584236384544,0.5804185049549679
California Referendum,0.5666340713836698,0.6452675173848721
CPL,0.3503311705866451,0.26175244409740783
Denmark,0.40469846462301473,0.6523700569849767
EU 2007,0.5096321514924395,0.6005922369498077
EU 2009,0.05260292362768495,0.3126176078514711
Northern Ireland,0.5277428457503911,0.5830196472687881
Michigan,0.5841212705011534,0.6851744642436612
NIC,0.5693678746925208,0.6423494355466112
San Mateo,0.36124758660743717,0.4788206257087585
SWEPCO,0.23765921946852217,0.46922500894134495
UK BGE,0.705714471038464,0.7093079804149724
UK Crime,0.5237752880794041,0.6271094279602657
UK EU,0.5601613910370336,0.6708043412494327
UK Health,0.5226832073611566,0.6790395581353722
UK Monarchy,0.4976527424503661,0.5642259968469192
Vermont,0.5420762675389517,0.24147019254096735
WTU,0.3001661280483847,0.44537111468381574
